#
#   VizieR Astronomical Server cdsarc.cds.unistra.fr
#    Date: 2025-04-28T21:48:34 [V7.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-28T21:48:34	  Query execution date
#INFO	request=https://cdsarc.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-out.add=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=V/137D/XHIP,V/137D/refs,V/137D/groups&-order=I&-out=HIP&-out=RAJ2000&-out=DEJ2000&-out=Dist&Dist=&gt;= 0&-out=X&-out=Y&-out=Z&-out=SpType&Simbad=Simbad&-out=Lum&-out=Name&-out=GrpName&-out=AltName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=3	
#  3 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5137
#Name: V/137D
#Title: Extended Hipparcos Compilation (XHIP) (Anderson+, 2012)
#INFO	ivoid=ivo://cds.vizier/v/137d	    IVOID of underlying data collection
#INFO	creator=Anderson E.	    First author or institution
#INFO	cites=bibcode:2012AstL...38..331A	    Article or Data origin sources
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/137D	    Dataset landing page
#INFO	publication_date=2017-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	V_137D_XHIP:
#Name: V/137D/XHIP
#Title: XHIP catalog: astrometry, spectrography, space motions, exoplanets, photometry, and references
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F12.8)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F7.2)	? Heliocentric distance (7)	[ucd=pos.distance]
#Column	X	(F6.1)	? Heliocentric distance towards Gal. center	[ucd=pos.distance]
#Column	Y	(F7.1)	? Heliocentric distance towards Gal. rotation	[ucd=pos.distance]
#Column	Z	(F6.1)	? Heliocentric distance towards N. Gal. Pole	[ucd=pos.distance]
#Column	SpType	(a26)	Spectral type (MK, HD, or other)	[ucd=src.spType]
#Column	Lum	(F9.2)	? Stellar luminosity (23)	[ucd=phys.luminosity]
#Column	Name	(a48)	Star name(s)	[ucd=meta.id]
#Column	GrpName	(a106)	Cluster or Association name(s)	[ucd=meta.id.parent]
HIP	RAJ2000	DEJ2000	Dist	X	Y	Z	SpType	Lum	Name	GrpName
    42	000.12538683	+25.84478043	 161.01	 -42.2	  123.9	 -93.8	F2                        	    11.37	                                                	
    43	000.12908906	+59.55973786	 135.87	 -60.6	  121.4	  -6.3	K2III                     	    77.95	HR 9079                                         	
    45	000.13420449	-72.20271049	  61.98	  27.5	  -34.7	 -43.4	G6/8V:                    	         	                                                	
    47	000.13519194	-56.83524790	  40.39	  15.1	  -14.4	 -34.6	K3V                       	     0.11	                                                	
    50	000.14287042	-53.09766266	  59.35	  20.9	  -17.9	 -52.6	G0/2IV                    	     8.12	                                                	
    52	000.14665841	-77.02014072	 205.35	  94.2	 -126.7	-131.3	A4V                       	    13.20	                                                	
    54	000.15165521	+17.96895565	  49.62	 -10.1	   34.7	 -34.0	K4V                       	     0.18	Ross 675                                        	
    55	000.15783359	-66.68310342	  64.78	  27.3	  -31.8	 -49.4	G2IV/V                    	     4.06	                                                	
    57	000.16828521	-69.67580052	  29.85	  12.9	  -15.8	 -21.8	K1V                       	     0.47	                                                	
    58	000.17376340	+62.17600478	  38.79	 -17.6	   34.5	  -0.1	G0                        	     2.02	                                                	
    60	000.17542337	-64.46582509	 168.74	  69.5	  -77.9	-132.6	F2IV                      	    10.98	                                                	
    61	000.17615727	+53.82218618	 172.02	 -73.0	  153.8	 -24.9	K5                        	    11.16	                                                	
    63	000.18174967	+45.25333300	 187.16	 -71.9	  164.2	 -53.8	A0IIspSiSrHg              	   116.42	CG Andromedae                                   	
    64	000.18458842	-27.90754614	 234.24	  41.1	   20.1	-229.7	K2 III                    	    45.72	                                                	
    65	000.18797520	-54.83034067	  53.29	  19.3	  -17.4	 -46.5	                          	     0.16	                                                	
    66	000.18854843	-72.31824930	 125.38	  55.6	  -70.5	 -87.5	F2V                       	     5.21	                                                	
    67	000.19910112	+23.53824879	 148.40	 -36.6	  111.3	 -91.1	F5                        	    14.44	                                                	
    68	000.20063619	+16.98896452	  31.54	  -6.2	   21.7	 -22.0	K0                        	     0.35	                                                	
    69	000.20137182	+30.39589287	 178.68	 -52.7	  143.4	 -92.6	A0                        	    12.49	                                                	
    71	000.20709876	+36.78015289	 131.51	 -44.2	  110.7	 -55.6	G5                        	     9.10	                                                	
    72	000.21946967	-12.82867036	  86.98	   4.4	   27.3	 -82.5	G3/5 V                    	     1.84	                                                	
    73	000.22045757	+66.84796680	 273.92	-128.1	  241.2	  21.3	K2                        	   280.57	                                                	
    74	000.22187285	+35.75272203	  44.39	 -14.6	   37.1	 -19.5	K5                        	     0.27	                                                	
    77	000.23052139	-30.06417338	 205.30	  39.4	   10.6	-201.2	A0Va-                     	    17.19	                                                	Blanco 1
    80	000.24179260	-11.82353722	  72.41	   3.0	   23.8	 -68.3	G2 V                      	     2.21	                                                	
    81	000.24386383	-04.93211474	  43.67	  -0.7	   18.6	 -39.5	G5 V                      	     0.66	                                                	
    84	000.25180707	+27.88634408	  47.57	 -13.2	   37.3	 -26.4	K0                        	     0.35	                                                	
    86	000.26038257	+69.60349835	 266.31	-126.2	  232.1	  33.2	B9                        	    41.15	                                                	
    88	000.26915945	-48.80985914	 180.17	  58.6	  -42.9	-164.9	G6/8 III                  	   189.40	Tau Phoenicis                                   	
    90	000.27999982	-41.88742966	 112.52	  31.4	  -14.9	-107.0	F5 IV/V                   	     9.62	                                                	
    93	000.29222272	-00.07592028	  60.99	  -3.6	   29.9	 -53.0	G3 V                      	     2.00	                                                	
    94	000.29485325	-32.75680558	  88.97	  18.8	    0.8	 -86.9	G2                        	     0.67	                                                	
    95	000.30203913	-11.96400033	 145.95	   6.1	   47.6	-137.8	F5 V                      	     6.29	                                                	
    96	000.30489044	+13.97474772	  33.91	  -5.9	   22.3	 -24.9	K5                        	     0.14	                                                	
   100	000.31645150	+19.74131642	 177.64	 -39.0	  127.0	-117.9	G0                        	    14.65	                                                	
   102	000.32043181	-41.48735580	 276.16	  76.2	  -35.0	-263.1	M1 III                    	   330.46	                                                	
   103	000.32214405	-68.37102957	 109.36	  46.8	  -56.1	 -81.4	F6V                       	     5.05	                                                	
   104	000.32673649	-31.89961662	  96.32	  19.7	    2.2	 -94.3	F7 V                      	     1.50	                                                	
   105	000.32784406	+70.92895776	 270.06	-128.8	  234.0	  39.7	F0                        	    50.18	                                                	
   106	000.33016475	+49.98158502	 197.69	 -80.9	  175.6	 -41.4	G7II-III                  	   150.23	HR 9083                                         	
   107	000.33380178	-50.33739916	 165.83	  55.4	  -43.3	-150.2	M2 III                    	         	HR 9082                                         	
   109	000.34660183	+06.79149105	 170.66	 -20.0	   98.3	-138.0	F0                        	    31.21	                                                	
   110	000.34870771	+39.61081792	  49.51	 -17.6	   42.3	 -18.7	K0V                       	     0.89	                                                	
   111	000.34908706	+34.28185976	  38.12	 -12.3	   31.5	 -17.6	K6/7V                     	     0.08	                                                	
   112	000.35691666	-16.94782658	  31.93	   2.7	    8.1	 -30.8	K7V                       	     0.10	Gliese 1293                                     	
   114	000.37167619	+30.73587915	 115.86	 -34.7	   93.1	 -59.5	G0IV                      	     8.25	                                                	
   115	000.37259640	-62.92315771	 253.32	 102.2	 -111.8	-203.0	A2IV                      	    55.58	                                                	
   116	000.37539356	-33.79270443	 123.67	  27.1	   -0.9	-120.7	F3 V                      	     4.70	                                                	
   118	000.38648582	-09.43003594	  76.83	   1.5	   27.8	 -71.6	F7 V                      	     1.12	                                                	
   166	000.52152655	-56.51490167	 104.94	  38.7	  -37.0	 -90.2	G3V                       	     2.95	                                                	
   119	000.39020244	+44.67544597	 153.81	 -59.0	  134.5	 -45.7	K0                        	    57.75	                                                	
   121	000.39647666	+28.42377440	 222.41	 -63.1	  175.1	-121.7	K2III                     	   136.36	                                                	
   122	000.39937881	-77.06529443	  66.57	  30.5	  -41.1	 -42.5	K3III                     	    86.72	Theta Octantis                                  	
   123	000.40024163	+72.23660635	 168.19	 -80.6	  144.8	  28.4	K0                        	    53.11	                                                	
   126	000.40873325	+14.63230678	 287.55	 -52.1	  190.8	-208.7	G5                        	    57.84	                                                	
   127	000.41208733	-48.93516090	  81.42	  26.4	  -19.6	 -74.5	                          	     0.35	                                                	
   128	000.41376507	+73.61187653	  70.72	 -34.0	   60.5	  13.6	kA1hA7mF0                 	    10.46	                                                	
   129	000.41560209	+05.37275067	 160.93	 -17.1	   89.9	-132.4	F6 V                      	     4.48	                                                	
   131	000.41994224	+62.01815069	 124.08	 -56.6	  110.4	  -0.6	A4   V                    	     7.15	                                                	
   133	000.42336875	-40.14866591	 206.77	  54.8	  -22.0	-198.2	F5 IV                     	    84.52	                                                	
   135	000.42674601	-00.21749939	  49.95	  -3.0	   24.4	 -43.5	G5 V                      	     0.80	                                                	
   136	000.42864222	+24.25318096	 178.96	 -45.6	  135.0	-108.3	K2III-IV                  	   104.31	                                                	
   137	000.43268934	+42.36714830	 364.71	-135.5	  315.8	-122.1	B9   IIIP.(HGMN)          	   489.21	HR 9086                                         	
   138	000.43720405	-16.53172124	 161.55	  12.7	   41.7	-155.6	K0/1 IV                   	    25.13	                                                	
   140	000.45267420	-68.10481117	 110.72	  47.2	  -56.5	 -82.7	F7V                       	     2.61	                                                	
   142	000.45374905	+66.30600226	  59.60	 -27.9	   52.5	   4.1	K0                        	     4.06	                                                	
   143	000.45518189	+21.46213748	  45.13	 -10.6	   32.9	 -29.0	K3                        	     0.18	                                                	
   145	000.45598909	-03.02747915	 138.98	  -5.0	   62.6	-124.0	B8 II/III                 	   317.35	29 Piscium                                      	
   148	000.47879296	+15.52852845	 246.06	 -46.6	  165.5	-176.1	F8                        	    31.02	                                                	
   149	000.47868476	+26.00557727	  44.96	 -12.1	   34.5	 -26.1	K3                        	     0.07	Ross 679                                        	
   150	000.48036527	-37.22984387	 120.88	  29.4	   -7.4	-117.0	K1 III                    	    28.84	Gliese 4388                                     	
   151	000.48458256	-41.61373673	 134.11	  36.8	  -17.4	-127.8	F3/5 III                  	    11.69	                                                	
   153	000.48454514	+12.65495314	 169.96	 -28.3	  109.1	-127.2	F8                        	     6.77	                                                	
   154	000.48996493	-06.01397145	 131.49	  -1.5	   53.8	-120.0	M2 III                    	         	30 Piscium                                      	
   157	000.50032725	-05.21399713	 170.90	  -3.1	   71.8	-155.0	G8 IV                     	    12.81	                                                	
   158	000.50047149	-37.90179029	 152.16	  37.7	  -11.0	-147.0	K0 III                    	    40.68	                                                	
   159	000.51081121	-02.76616337	  62.37	  -2.4	   28.3	 -55.5	A8/9 V                    	     5.44	                                                	
   163	000.51714277	-30.68523477	 207.55	  40.0	    8.4	-203.5	A3Va-                     	     9.39	                                                	Blanco 1
   167	000.52780725	+39.18321350	 223.05	 -79.1	  190.0	 -86.1	B9V                       	    16.26	                                                	
   169	000.53502147	-68.28020623	  15.31	   6.5	   -7.9	 -11.4	K5/M0V                    	     0.09	Gliese 1294 A                                   	
   171	000.54018854	+27.08448917	  12.16	  -3.4	    9.4	  -6.9	G5V Fe-1                  	     0.67	85 Pegasi (HR 9088)                             	
   175	000.55243597	+49.77113898	 216.04	 -88.6	  191.5	 -46.1	K0III                     	    38.61	                                                	
   178	000.56779596	-27.13517299	 105.78	  17.4	   10.1	-103.9	F7 V                      	     6.41	                                                	
   179	000.56886216	-13.40751571	  65.18	   3.3	   19.8	 -62.0	G0 V                      	     6.48	                                                	
   181	000.57381664	+60.70319449	 356.31	-161.4	  317.5	  -9.9	M2                        	         	                                                	
   183	000.58297533	-29.72044838	 153.81	  28.4	    8.4	-150.9	B5V                       	   495.64	Zeta Sculptoris                                 	
   184	000.58977573	+11.00634092	  31.16	  -4.8	   19.4	 -23.9	K0                        	     0.43	                                                	
   185	000.59015022	+10.78564395	  76.93	 -11.8	   47.7	 -59.2	F8                        	     2.01	                                                	
   186	000.60069765	+08.95683357	 122.42	 -17.0	   73.4	 -96.5	A7:IV                     	    36.65	31 Piscium                                      	
   187	000.60211392	-06.05918192	 124.88	  -1.6	   50.9	-114.0	F5 V                      	     3.42	                                                	
   188	000.60250408	+06.33313671	  99.53	 -11.6	   56.6	 -81.0	F5                        	     2.97	                                                	
   190	000.60555599	+10.77665181	  86.80	 -13.3	   53.9	 -66.8	G0                        	     2.14	                                                	
   191	000.61228757	-46.02884117	  37.13	  11.3	   -7.3	 -34.6	M3                        	     0.04	                                                	
   194	000.62398923	+08.48557840	  36.89	  -5.0	   21.9	 -29.3	F1V                       	     6.21	32 c Piscium                                    	
   195	000.62573718	+47.42295965	 116.53	 -46.6	  102.7	 -29.4	F8                        	    10.91	                                                	
   199	000.63503233	+16.25655092	 249.60	 -49.3	  169.4	-176.6	A0                        	    69.20	                                                	
   201	000.63931400	+18.68336438	  98.26	 -21.2	   69.0	 -66.6	F5                        	     4.17	                                                	
   205	000.64571089	-05.18664436	 122.03	  -2.5	   51.2	-110.7	F0 V                      	     4.77	                                                	
   206	000.64684023	+18.83599583	 102.89	 -22.4	   72.4	 -69.6	G0                        	     3.37	                                                	
   210	000.66214851	-08.48794366	 128.87	   0.9	   48.1	-119.5	F8/G0 V                   	     3.41	                                                	
   212	000.66344290	-29.07525134	 203.02	  36.2	   13.1	-199.3	F2V                       	     2.79	                                                	Blanco 1
   213	000.66686325	+51.47241286	 141.54	 -59.3	  125.8	 -26.2	G5                        	    20.26	                                                	
   216	000.67692240	+42.92069160	 249.94	 -94.3	  216.6	 -81.6	B9VpSr                    	    40.11	                                                	
   217	000.67441582	+82.97320956	 343.55	-167.7	  275.2	 118.9	A0V                       	   121.33	                                                	
   219	000.69022940	+06.03445240	  97.15	 -11.3	   54.8	 -79.4	F8                        	     3.22	                                                	
   220	000.69173940	+35.81547280	 174.92	 -58.8	  145.8	 -76.7	A0III                     	    25.01	                                                	
   221	000.69321359	+80.28224139	 146.32	 -71.4	  119.8	  44.3	F2Vn                      	    14.73	                                                	
   223	000.69641122	+02.13037637	  42.55	  -3.5	   22.0	 -36.3	F8/G0V                    	     2.23	                                                	
   225	000.70006381	-15.04053138	 113.70	   7.1	   31.6	-109.0	F3/5 V                    	     2.69	                                                	
   228	000.71015210	+28.25189136	 100.26	 -28.8	   78.6	 -55.2	F8                        	     7.73	                                                	
   230	000.71569533	+30.33651580	 128.02	 -38.6	  102.3	 -66.7	F2                        	     5.81	                                                	
   232	000.73006117	-30.14977983	 204.02	  37.9	    9.6	-200.2	A0Vb                      	    17.43	                                                	Blanco 1
   237	000.73911205	-39.52732250	 152.36	  39.1	  -15.0	-146.5	G8 IV                     	     6.48	                                                	
   238	000.73927406	-20.04607413	  61.10	   6.3	   12.4	 -59.5	F6/7 V                    	    10.51	HR 9095                                         	
   239	000.74317394	+03.38193742	 160.99	 -15.2	   85.6	-135.5	F3 V                      	     8.51	                                                	
   242	000.75216641	-34.74405042	 140.63	  31.1	   -3.5	-137.1	G8 IV                     	    18.24	                                                	
   244	000.75886471	+39.99515227	 258.65	 -93.6	  220.9	 -96.6	F7Ib                      	    43.31	                                                	
   246	000.76368755	+56.73318430	  55.05	 -24.3	   49.1	  -5.3	K3                        	     0.47	                                                	
   248	000.76575120	+08.27080456	 109.04	 -14.8	   64.4	 -86.8	F0                        	     5.69	                                                	
   249	000.77419622	+31.87010307	  80.47	 -25.1	   65.1	 -40.1	F8                        	     1.81	                                                	
   253	000.78257286	-24.14513781	 200.64	  27.5	   28.0	-196.8	K1 III                    	   152.50	HR 9096                                         	
   254	000.78466953	+42.74791700	 161.60	 -61.0	  139.8	 -53.3	A1V                       	    47.52	                                                	
   255	000.79452370	-24.58828781	  91.14	  12.8	   12.1	 -89.4	F2/3 V                    	     4.79	                                                	
   257	000.80301470	-31.21239376	 205.36	  39.7	    6.2	-201.4	A1mA2Vb                   	    10.33	                                                	Blanco 1
   258	000.80532808	+17.55239671	 170.46	 -35.8	  117.7	-118.0	K0                        	    92.48	                                                	
   262	000.82579608	+32.84586928	 174.72	 -55.8	  142.4	 -84.6	F0/2V                     	     6.23	                                                	
   263	000.82923743	+04.68713522	  28.90	  -3.1	   15.8	 -24.0	M2                        	     0.03	                                                	
   267	000.83541134	-04.14573021	  97.86	  -3.2	   42.3	 -88.2	F0 V                      	     4.73	                                                	
   270	000.85005645	+73.17449071	 208.05	-100.4	  178.1	  38.4	A2                        	    41.26	                                                	
   271	000.85277154	-35.96517360	 193.30	  44.3	   -8.5	-188.0	A2 III                    	     6.71	                                                	
   276	000.85791191	+20.66591795	  58.02	 -13.6	   41.8	 -37.9	G0                        	     3.16	                                                	
   277	000.85927878	-36.25120501	  65.52	  15.2	   -3.2	 -63.7	F0V+                      	     5.87	                                                	
   283	000.87715563	+12.35682884	 142.66	 -24.3	   90.7	-107.4	F2V                       	    17.72	                                                	
   288	000.88875921	+42.35221972	 165.83	 -62.4	  143.1	 -55.8	K0                        	    24.83	                                                	
   290	000.90411391	-31.09403258	  64.63	  12.4	    2.0	 -63.4	F8/G0 V                   	     2.90	                                                	
   293	000.91590017	-57.16443899	  82.23	  30.4	  -29.9	 -70.3	F6V                       	     2.87	                                                	
   294	000.91715625	+03.90700444	 118.53	 -12.0	   63.6	 -99.3	F2V                       	     8.62	                                                	
   296	000.92207775	-28.39584820	  38.85	   6.6	    2.8	 -38.2	G8.5V                     	     0.75	                                                	
   297	000.92444460	+48.43692683	 137.40	 -56.0	  121.2	 -32.5	A3V                       	    31.80	                                                	
   299	000.93377178	-63.60066148	 107.95	  43.5	  -48.9	 -85.9	F5V                       	     4.24	                                                	
   300	000.93490874	+42.02349782	 148.82	 -55.8	  128.2	 -50.8	A7IV                      	    19.22	                                                	
   301	000.93488525	-17.33596994	  83.43	   6.5	   20.2	 -80.7	B9IVn                     	   122.52	2 Ceti                                          	
   302	000.96511472	+66.71220286	 263.37	-124.3	  231.4	  19.6	M3                        	         	                                                	
   303	000.96915935	+57.37827710	 197.45	 -87.9	  176.0	 -16.9	kA3hA7mF2                 	    17.76	                                                	
   304	000.96979544	+22.29607182	 179.19	 -44.4	  131.4	-113.4	A2                        	    13.28	                                                	
   305	000.97206226	-28.39376962	  46.83	   7.9	    3.4	 -46.0	G5 IV                     	     1.86	                                                	
   306	000.97474115	-57.83035729	  73.71	  27.5	  -27.5	 -62.6	G2V                       	     1.81	                                                	
   308	000.98353984	+14.37891688	  76.43	 -14.4	   50.2	 -55.8	F0                        	     7.06	                                                	
   309	000.98590845	-45.28859742	 223.80	  65.9	  -42.2	-209.7	A6 V                      	    15.93	                                                	
   310	000.98741061	-43.19150342	  88.47	  24.8	  -13.9	 -83.8	G5 V                      	     1.09	                                                	
   311	000.98758898	+36.97021185	 166.68	 -57.8	  139.6	 -70.3	F0                        	    10.45	                                                	
   313	000.99110238	-48.12518724	 100.87	  31.6	  -23.4	 -92.9	F3/5 V                    	     5.34	                                                	
   314	000.99172684	+20.95381935	 143.41	 -34.2	  103.4	 -93.3	G0                        	     8.85	                                                	
   315	000.99220890	-71.27863481	 141.05	  61.5	  -77.8	-100.3	F8V                       	     2.63	                                                	
   316	001.00099705	+12.14583366	 173.63	 -29.6	  109.8	-131.2	F0III                     	    31.28	                                                	
   317	001.00253320	-80.39506984	 167.54	  78.0	 -109.8	 -99.7	F0III/IV                  	    15.95	                                                	
   321	001.03267088	-25.89254961	  94.50	  14.0	   10.5	 -92.9	G2/3 V                    	     2.19	                                                	
   322	001.03517446	+56.92100471	 230.68	-102.4	  205.6	 -21.5	G8IV                      	    55.82	                                                	
   323	001.04272813	+49.87020740	 129.27	 -53.7	  114.3	 -27.5	K0III                     	    22.69	                                                	
   324	001.04254358	+17.43668364	 144.57	 -30.7	   99.4	-100.4	F5                        	     7.09	                                                	
   325	001.04362740	+39.12012581	  68.21	 -24.6	   57.9	 -26.5	F8                        	     1.59	                                                	
   328	001.04953031	-30.13491797	 206.31	  37.5	    9.3	-202.7	B8V                       	    88.03	                                                	Blanco 1
   329	001.05137413	-10.14127919	 108.52	   1.7	   37.6	-101.8	G6 V                      	     1.31	                                                	
   332	001.06083426	-34.41465355	 152.65	  32.8	   -3.3	-149.0	F6 V                      	     8.93	                                                	
   335	001.06601844	+14.08162310	 195.80	 -36.6	  127.8	-143.7	A0                        	     8.90	                                                	
   336	001.06656721	+65.15296136	 310.06	-145.4	  273.5	  14.8	M2                        	         	                                                	
   337	001.06725505	-25.91498937	  77.54	  11.4	    8.6	 -76.2	G5                        	     0.86	                                                	
   339	001.06871406	-59.31518060	 250.10	  95.0	  -98.7	-209.3	A1V                       	    21.97	                                                	
   340	001.07383319	-43.98832615	  77.04	  21.9	  -13.0	 -72.7	F6 V                      	     2.90	                                                	
   342	001.07898316	-20.56874502	 117.07	  12.1	   22.5	-114.2	G0 V                      	     1.74	                                                	
   343	001.08233960	-16.52888977	  90.48	   6.3	   22.9	 -87.3	K0 III                    	    52.66	HR 9101                                         	
   345	001.08457416	-29.26883034	 124.35	  21.7	    7.3	-122.2	B9IVs + A2n               	    42.79	HR 9102                                         	
   348	001.08880029	+12.95705505	  57.19	 -10.2	   36.6	 -42.7	G5                        	     1.10	                                                	
   349	001.09539405	-29.38157912	 209.70	  36.7	   11.9	-206.1	B9Va                      	    41.65	                                                	Blanco 1
